scope,transition,query_id,query,token_index,surface,gold_lemmas,gold_identity,mle_lemma,mle_identity,mle_source,mle_pos,bert_lemma,bert_identity,bert_source,bert_pos,notes
context,bert_regression,candidate-final-representative-full-20260718:prod_two_remembrance:r1,وَلَذِكْرُ الله أَكْبَرُ لا شيءَ أفضل من ذكرِ الله وقالت أم الدرداء إن صليت فهو من ذكر الله وإن صمتَ,18,وإن,إِنْ,إن,إِنْ,إن,lex,conj_sub,أَنَّ,أن,spvar,conj_sub,
context,bert_regression,candidate-final-representative-full-20260718:prod_long_falaq:r2,قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ الْفَلَقِ قَوْلَهُ وقُلْ أَعُوذُ بِرَبِّ النَّاسِ النَّاسِ وَلَمْ يُتِمَّ سُورَةَ قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ عَنْوَنَهَا الْبُخَارِيُّ,1,أَعُوذُ,عاذ,عاذ,عاذ,عاذ,lex,verb,اعوذ,اعوذ,backoff,noun_prop,
context,bert_regression,candidate-final-representative-full-20260718:prod_long_falaq:r2,قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ الْفَلَقِ قَوْلَهُ وقُلْ أَعُوذُ بِرَبِّ النَّاسِ النَّاسِ وَلَمْ يُتِمَّ سُورَةَ قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ عَنْوَنَهَا الْبُخَارِيُّ,6,وقُلْ,قال | قَالَ1,قال,قال,قال,lex,verb,قَلّ,قل,lex,verb,
context,bert_regression,candidate-final-representative-full-20260718:prod_long_falaq:r2,قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ الْفَلَقِ قَوْلَهُ وقُلْ أَعُوذُ بِرَبِّ النَّاسِ النَّاسِ وَلَمْ يُتِمَّ سُورَةَ قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ عَنْوَنَهَا الْبُخَارِيُّ,7,أَعُوذُ,عاذ,عاذ,عاذ,عاذ,lex,verb,اعوذ,اعوذ,backoff,noun_prop,
context,bert_regression,candidate-final-representative-full-20260718:prod_long_falaq:r2,قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ الْفَلَقِ قَوْلَهُ وقُلْ أَعُوذُ بِرَبِّ النَّاسِ النَّاسِ وَلَمْ يُتِمَّ سُورَةَ قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ عَنْوَنَهَا الْبُخَارِيُّ,15,أَعُوذُ,عاذ,عاذ,عاذ,عاذ,lex,verb,اعوذ,اعوذ,backoff,noun_prop,
context,bert_regression,candidate-final-representative-full-20260718:prod_long_falaq:r1,قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ قُلْ أَعُوذُ بِرَبّ الفلق أي الصبح أو الخلق أو هو وادفى جهنم أوجبٌّ فيها,1,أَعُوذُ,عاذ,عاذ,عاذ,عاذ,lex,verb,اعوذ,اعوذ,backoff,noun_prop,
context,bert_regression,candidate-final-representative-full-20260718:prod_long_falaq:r1,قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ قُلْ أَعُوذُ بِرَبّ الفلق أي الصبح أو الخلق أو هو وادفى جهنم أوجبٌّ فيها,5,أَعُوذُ,عاذ,عاذ,عاذ,عاذ,lex,verb,اعوذ,اعوذ,backoff,noun_prop,
context,bert_fix,candidate-final-representative-full-20260718:prod_three_khawarij:r2,حكم الخوارج والفرق بين الخوارج والبغاة السؤال هل الخوارج كفار وما الفرق بين البغاة والخوارج الجواب جاء عن علي أنه,9,كفار,كافِر | كَافِرٌ,كافر,فَأْر,فأر,lex,noun,كافِر,كافر,lex,noun,
context,bert_fix,candidate-final-representative-full-20260718:prod_three_khawarij:r2,حكم الخوارج والفرق بين الخوارج والبغاة السؤال هل الخوارج كفار وما الفرق بين البغاة والخوارج الجواب جاء عن علي أنه,18,علي,عَلِيّ,علي,عَلَى,على,spvar,prep,عَلِيّ,علي,lex,noun_prop,
context,bert_fix,candidate-final-representative-full-20260718:prod_long_prostration_ground:r2,لمريض فيها من السجود على الأرض فصلاته على الكرسي تحول بينه وبين أداء السجود الواجب عليه والقادر عليه أما إن,9,تحول,حال,حال,تَحَوَّل,تحول,lex,verb,حال,حال,lex,verb,
context,bert_regression,candidate-final-representative-full-20260718:prod_long_prostration_ground:r2,لمريض فيها من السجود على الأرض فصلاته على الكرسي تحول بينه وبين أداء السجود الواجب عليه والقادر عليه أما إن,19,إن,إِن,إن,إِن,إن,lex,abbrev,أَنَّ,أن,spvar,conj_sub,
